time,current,voltage
24-05-12 09:23.47,0.335,3.149
24-05-12 09:24.02,0.339,3.15
24-05-12 09:24.17,0.355,3.152
24-05-12 09:24.32,0.354,3.153
24-05-12 09:24.47,0.358,3.154
24-05-12 09:25.02,0.348,3.155
24-05-12 09:25.17,0.351,3.157
24-05-12 09:25.32,0.324,3.158
24-05-12 09:25.47,0.344,3.16
24-05-12 09:26.02,0.348,3.161
24-05-12 09:26.17,0.335,3.162
24-05-12 09:26.32,0.341,3.163
24-05-12 09:26.47,0.331,3.164
24-05-12 09:27.02,0.347,3.165
24-05-12 09:27.17,0.34,3.166
24-05-12 09:27.32,0.349,3.167
24-05-12 09:27.47,0.341,3.168
24-05-12 09:28.02,0.348,3.17
24-05-12 09:28.17,0.342,3.171
24-05-12 09:28.32,0.346,3.172
24-05-12 09:28.47,0.34,3.173
24-05-12 09:29.02,0.338,3.174
24-05-12 09:29.17,0.352,3.175
24-05-12 09:29.32,0.356,3.175
24-05-12 09:29.47,0.333,3.177
24-05-12 09:30.02,0.342,3.178
24-05-12 09:30.17,0.341,3.178
24-05-12 09:30.32,0.335,3.179
24-05-12 09:30.47,0.346,3.18
24-05-12 09:31.02,0.365,3.181
24-05-12 09:31.17,0.342,3.182
24-05-12 09:31.32,0.322,3.183
24-05-12 09:31.47,0.347,3.185
24-05-12 09:32.02,0.341,3.185
24-05-12 09:32.17,0.33,3.187
24-05-12 09:32.32,0.344,3.188
24-05-12 09:32.47,0.332,3.189
24-05-12 09:33.02,0.338,3.19
24-05-12 09:33.17,0.346,3.191
24-05-12 09:33.32,0.339,3.192
24-05-12 09:33.47,0.357,3.193
24-05-12 09:34.02,0.346,3.194
24-05-12 09:34.17,0.345,3.195
24-05-12 09:34.32,0.346,3.196
24-05-12 09:34.47,0.318,3.197
24-05-12 09:35.02,0.351,3.198
24-05-12 09:35.17,0.323,3.199
24-05-12 09:35.32,0.343,3.2
24-05-12 09:35.47,0.338,3.201
24-05-12 09:36.02,0.346,3.201
24-05-12 09:36.17,0.329,3.202
24-05-12 09:36.32,0.35,3.203
24-05-12 09:36.47,0.345,3.204
24-05-12 09:37.02,0.334,3.205
24-05-12 09:37.17,0.328,3.206
24-05-12 09:37.32,0.327,3.206
24-05-12 09:37.47,0.339,3.207
24-05-12 09:38.02,0.334,3.208
24-05-12 09:38.17,0.34,3.209
24-05-12 09:38.32,0.32,3.21
24-05-12 09:38.47,0.329,3.212
24-05-12 09:39.01,0.351,3.212
24-05-12 09:39.16,0.341,3.213
24-05-12 09:39.31,0.346,3.213
24-05-12 09:39.46,0.337,3.214
24-05-12 09:40.01,0.332,3.215
24-05-12 09:40.16,0.344,3.216
24-05-12 09:40.31,0.339,3.217
24-05-12 09:40.46,0.331,3.217
24-05-12 09:41.01,0.335,3.218
24-05-12 09:41.16,0.34,3.218
24-05-12 09:41.31,0.332,3.219
24-05-12 09:41.46,0.328,3.219
24-05-12 09:42.01,0.328,3.22
24-05-12 09:42.16,0.343,3.221
24-05-12 09:42.31,0.336,3.222
24-05-12 09:42.46,0.326,3.223
24-05-12 09:43.01,0.357,3.224
24-05-12 09:43.16,0.339,3.224
24-05-12 09:43.31,0.339,3.225
24-05-12 09:43.46,0.326,3.226
24-05-12 09:44.01,0.347,3.221
24-05-12 09:44.16,0.355,3.218
24-05-12 09:44.31,0.357,3.217
24-05-12 09:44.46,0.356,3.218
24-05-12 09:45.01,0.347,3.224
24-05-12 09:45.16,0.346,3.226
24-05-12 09:45.31,0.359,3.227
24-05-12 09:45.46,0.345,3.228
24-05-12 09:46.01,0.338,3.228
24-05-12 09:46.16,0.343,3.228
24-05-12 09:46.31,0.338,3.229
24-05-12 09:46.46,0.323,3.23
24-05-12 09:47.01,0.355,3.228
24-05-12 09:47.16,0.347,3.228
24-05-12 09:47.31,0.333,3.23
24-05-12 09:47.46,0.351,3.225
24-05-12 09:48.01,0.355,3.227
24-05-12 09:48.16,0.362,3.225
24-05-12 09:48.31,0.357,3.224
24-05-12 09:48.46,0.352,3.224
24-05-12 09:49.01,0.368,3.224
24-05-12 09:49.16,0.37,3.224
24-05-12 09:49.31,0.358,3.225
24-05-12 09:49.46,0.357,3.225
24-05-12 09:50.01,0.36,3.225
24-05-12 09:50.16,0.364,3.227
24-05-12 09:50.31,0.364,3.228
24-05-12 09:50.46,0.345,3.231
24-05-12 09:51.01,0.35,3.23
24-05-12 09:51.16,0.33,3.23
24-05-12 09:51.31,0.365,3.23
24-05-12 09:51.46,0.35,3.226
24-05-12 09:52.01,0.352,3.226
24-05-12 09:52.16,0.358,3.225
24-05-12 09:52.31,0.362,3.225
24-05-12 09:52.46,0.344,3.225
24-05-12 09:53.01,0.369,3.226
24-05-12 09:53.16,0.359,3.227
24-05-12 09:53.31,0.347,3.23
24-05-12 09:53.46,0.352,3.23
24-05-12 09:54.01,0.325,3.234
24-05-12 09:54.16,0.361,3.235
24-05-12 09:54.31,0.331,3.235
24-05-12 09:54.46,0.336,3.231
24-05-12 09:55.01,0.352,3.228
24-05-12 09:55.16,0.36,3.228
24-05-12 09:55.31,0.38,3.227
24-05-12 09:55.46,0.365,3.227
24-05-12 09:56.01,0.354,3.226
24-05-12 09:56.16,0.357,3.226
24-05-12 09:56.31,0.371,3.226
24-05-12 09:56.46,0.369,3.226
24-05-12 09:57.01,0.359,3.225
24-05-12 09:57.16,0.366,3.225
24-05-12 09:57.31,0.374,3.225
24-05-12 09:57.46,0.363,3.225
24-05-12 09:58.01,0.365,3.225
24-05-12 09:58.16,0.375,3.226
24-05-12 09:58.31,0.369,3.229
24-05-12 09:58.46,0.35,3.233
24-05-12 09:59.01,0.339,3.235
24-05-12 09:59.16,0.331,3.237
24-05-12 09:59.31,0.347,3.237
24-05-12 09:59.46,0.337,3.236
24-05-12 10:00.01,0.344,3.238
24-05-12 10:00.15,0.351,3.24
24-05-12 10:00.30,0.323,3.24
24-05-12 10:00.45,0.336,3.241
